,bin,Pattern,Start,End
133,chr1_132345405,HIC,25,27
134,chr1_132345405,BCD,31,33
135,chr1_132345405,CDAEFG,32,37
136,chr1_132345405,BJBHK,39,43
137,chr1_132345405,HKBL,42,45
138,chr1_132345405,BLMB,44,47
139,chr1_132345405,BJBHK,50,54
140,chr1_132345405,HKBL,53,56
141,chr1_132345405,BLMB,55,58
142,chr1_132345405,HKBL,62,65
143,chr1_132345405,EOU,70,72
144,chr1_132345405,OUP,71,73
145,chr1_132345405,PQDB,73,76
146,chr1_132345405,EGB,78,80
147,chr1_132345405,BEO,81,83
148,chr1_132345405,EOU,82,84
149,chr1_132345405,OUP,83,85
150,chr1_132345405,UPRG,84,87
151,chr1_132345405,RGBVSE,86,91
152,chr1_132345405,SE3,90,92
153,chr1_132345405,3LGB,92,95
154,chr1_132345405,BTBE,95,98
155,chr1_132345405,BEO,97,99
156,chr1_132345405,EOU,98,100
157,chr1_132345405,OUP,99,101
158,chr1_132345405,UPRG,100,103
159,chr1_132345405,3LGB,105,108
160,chr1_132345405,BTBE,108,111
161,chr1_132345405,BEO,110,112
162,chr1_132345405,EOU,111,113
163,chr1_132345405,OUP,112,114
164,chr1_132345405,UPRG,113,116
165,chr1_132345405,3LGB,118,121
166,chr1_132345405,BTBE,121,124
167,chr1_132345405,BEO,123,125
168,chr1_132345405,EOU,124,126
169,chr1_132345405,OUP,125,127
170,chr1_132345405,UPRG,126,129
171,chr1_132345405,GEO,129,131
172,chr1_132345405,EOU,130,132
173,chr1_132345405,OUP,131,133
174,chr1_132345405,UPRG,132,135
175,chr1_132345405,RGBVSE,134,139
176,chr1_132345405,SE3,138,140
177,chr1_132345405,3LMW,140,143
178,chr1_132345405,MWXPQ,142,146
179,chr1_132345405,PQDB,145,148
180,chr1_132345405,EGB,150,152
181,chr1_132345405,GEO,154,156
182,chr1_132345405,EOU,155,157
183,chr1_132345405,OUP,156,158
184,chr1_132345405,UPRG,157,160
185,chr1_132345405,RGBVSE,159,164
186,chr1_132345405,SE3,163,165
187,chr1_132345405,3LMW,165,168
188,chr1_132345405,MWXPQ,167,171
189,chr1_132345405,PQDB,170,173
190,chr1_132345405,EGB,175,177
191,chr1_132345405,BTBE,177,180
192,chr1_132345405,BEO,179,181
193,chr1_132345405,EOU,180,182
194,chr1_132345405,OUP,181,183
195,chr1_132345405,UPRG,182,185
196,chr1_132345405,RGBVSE,184,189
197,chr1_132345405,SE3,188,190
198,chr1_132345405,3LMW,190,193
199,chr1_132345405,MWXPQ,192,196
200,chr1_132345405,PQDB,195,198
201,chr1_132345405,EGB,200,202
202,chr1_132345405,BTBE,202,205
203,chr1_132345405,BEO,204,206
204,chr1_132345405,EOU,205,207
205,chr1_132345405,OUP,206,208
206,chr1_132345405,UPRG,207,210
207,chr1_132345405,RGBVSE,209,214
208,chr1_132345405,SE3,213,215
209,chr1_132345405,3LMW,215,218
210,chr1_132345405,MW1N2,217,221
211,chr1_132345405,SE3,223,225
212,chr1_132345405,3LMW,225,228
213,chr1_132345405,MW1N2,227,231
214,chr1_132345405,CDB,232,234
215,chr1_132345405,YECD,235,238
216,chr1_132345405,CDB,237,239
217,chr1_132345405,YECD,241,244
218,chr1_132345405,CDB,243,245
219,chr1_132345405,EGB,247,249
220,chr1_132345405,GB4B,248,251
221,chr1_132345405,BCD,251,253
222,chr1_132345405,CDB,252,254
223,chr1_132345405,EGB,256,258
224,chr1_132345405,GB4B,257,260
225,chr1_132345405,EGB,265,267
226,chr1_132345405,EGB,268,270
227,chr1_132345405,OUP,274,276
228,chr1_132345405,BBB68O,281,286
229,chr1_132345405,68OBBBBa,284,291
230,chr1_132345405,OBBBBa9K7OBBB68,286,300
231,chr1_132345405,BBB68O,296,301
232,chr1_132345405,68OBBBBa,299,306
233,chr1_132345405,OBBBBa9K7OBBB68,301,315
234,chr1_132345405,BBB68O,311,316
235,chr1_132345405,68OBBBBa,314,321
236,chr1_132405405,ABFIMNGC,1,8
237,chr1_132405405,GCHI,7,10
238,chr1_132405405,IJKLEDAB,10,17
239,chr1_132405405,ABFIMNGC,16,23
240,chr1_132405405,GCHI,22,25
241,chr1_132405405,IJKLEDAB,25,32
242,chr1_132405405,ABFIMNGC,31,38
243,chr1_132405405,GCHI,37,40
244,chr1_132405405,IJKLEDAB,40,47
245,chr1_132405405,ABFIMNGC,46,53
246,chr1_132405405,GCHI,52,55
247,chr1_132405405,IJOI,55,58
248,chr1_132405405,GCHI,60,63
249,chr1_132405405,GCHI,68,71
250,chr1_132405405,IJOI,71,74
251,chr1_132425405,CDFFFG,3,8
252,chr1_132425405,FGEB,7,10
253,chr1_132425405,EBIEHB,9,14
254,chr1_132425405,HBFF,13,16
255,chr1_132425405,CDFFFG,17,22
256,chr1_132425405,FGEB,21,24
257,chr1_132425405,EBIEHB,23,28
258,chr1_132425405,HBFF,27,30
259,chr1_132425405,FGEB,30,33
260,chr1_132425405,EBIEHB,32,37
261,chr1_132425405,HBFF,36,39
262,chr1_132425405,FJFG,40,43
263,chr1_132425405,FGEB,42,45
264,chr1_132425405,EBIEHB,44,49
265,chr1_132425405,HBFF,48,51
266,chr1_132425405,FJFG,55,58
267,chr1_132425405,FGEB,57,60
268,chr1_132425405,EBFFFG,59,64
269,chr1_132425405,GIFFG,64,68
270,chr1_132425405,FGEB,67,70
271,chr1_132425405,HBFF,71,74
272,chr1_132425405,FJFG,75,78
273,chr1_132425405,GIFFG,78,82
274,chr1_132425405,EBFFFG,84,89
275,chr1_132425405,GIFFG,89,93
276,chr1_132425405,FGEB,92,95
277,chr1_132425405,EBIEHB,94,99
278,chr1_132425405,HBFF,98,101
279,chr1_132425405,FJFG,102,105
280,chr1_132425405,FGEB,104,107
281,chr1_132425405,EBIEHB,106,111
282,chr1_132425405,HBFF,110,113
283,chr1_132425405,FJFG,114,117
284,chr1_132425405,FGEB,116,119
285,chr1_132425405,EBIEHB,118,123
286,chr1_132445405,EBFCG,17,21
287,chr1_132445405,HDKIEB,23,28
288,chr1_132445405,EBFCG,27,31
289,chr1_132445405,CGJHD,30,34
290,chr1_132445405,HDKIEB,33,38
291,chr1_132445405,EBFCG,37,41
292,chr1_132445405,CGJHD,40,44
293,chr1_132445405,HDKIEB,43,48
294,chr1_132445405,EBFCG,47,51
295,chr1_132445405,CGJHD,50,54
296,chr1_132445405,HDKIEB,53,58
297,chr1_132445405,EBFCG,57,61
298,chr1_132445405,CGJHD,60,64
299,chr1_132475405,FAGA,26,29
300,chr1_132475405,AHCE,35,38
301,chr1_132475405,EAIF,38,41
302,chr1_132475405,FAGA,41,44
303,chr1_132475405,AHCE,44,47
304,chr1_132475405,EAIF,47,50
305,chr1_132475405,FAGA,50,53
306,chr1_132475405,AHCE,53,56
307,chr1_132475405,AHCE,57,60
308,chr1_132475405,EAIF,60,63
309,chr1_132475405,FAGA,63,66
310,chr1_132475405,AHCE,66,69
311,chr1_132475405,EAIF,69,72
312,chr1_132475405,AHCE,79,82
313,chr1_132475405,EAIF,82,85
314,chr1_132475405,FAGA,85,88
315,chr1_132475405,AHCE,88,91
316,chr1_132475405,EAIF,91,94
317,chr1_132475405,AHCE,95,98
318,chr1_132475405,EAIF,98,101
319,chr1_132475405,FAGA,101,104
320,chr1_132475405,AHCE,104,107
321,chr1_132475405,EAIF,107,110
322,chr1_132475405,FAGA,110,113
323,chr1_132475405,AHCE,113,116
324,chr1_132475405,EAIF,116,119
325,chr1_132495405,FAGHBCDE,2,9
326,chr1_132495405,FAGHBCDE,11,18
327,chr1_132495405,IJDCCK,21,26
328,chr1_132495405,IJDCCK,27,32
329,chr1_132555405,CECD,2,5
330,chr1_132555405,CACD,6,9
331,chr1_132555405,CECD,23,26
332,chr1_132555405,CACD,27,30
333,chr1_132555405,BCDC,33,36
334,chr1_132555405,CECD,41,44
335,chr1_132555405,CECD,49,52
336,chr1_132555405,BCDC,57,60
337,chr1_132565405,BABC,5,8
338,chr1_132565405,BABC,17,20
339,chr1_132565405,CBBE,20,23
340,chr1_132565405,ABDGIBBB,25,32
341,chr1_132565405,BBEHAB,32,37
342,chr1_132565405,ABDGIBBB,36,43
343,chr1_132565405,BABC,45,48
344,chr1_132565405,CBBE,48,51
345,chr1_132565405,BBEHAB,49,54
346,chr1_132565405,ABDGIBBB,53,60
347,chr1_132602805,ADEFBBBB,9,16
348,chr1_132602805,ADEFBBBB,19,26
349,chr1_132612805,BCD,3,5
350,chr1_132612805,CDB,4,6
351,chr1_132612805,DBC,5,7
352,chr1_132612805,BCD,6,8
353,chr1_132612805,CDB,7,9
354,chr1_132612805,DBC,8,10
355,chr1_132612805,BCD,9,11
356,chr1_132612805,CDDGDE,10,15
357,chr1_132612805,DEF,14,16
358,chr1_132612805,EFBC,15,18
359,chr1_132612805,BCD,17,19
360,chr1_132612805,CDB,18,20
361,chr1_132612805,DBC,19,21
362,chr1_132612805,BCD,20,22
363,chr1_132612805,CDB,21,23
364,chr1_132612805,DBC,22,24
365,chr1_132612805,BCD,23,25
366,chr1_132612805,CDDGDE,24,29
367,chr1_132612805,DEF,28,30
368,chr1_132612805,CDB,31,33
369,chr1_132612805,DEF,34,36
370,chr1_132612805,DBC,37,39
371,chr1_132612805,BCD,38,40
372,chr1_132612805,CDDGDE,39,44
373,chr1_132612805,DEF,43,45
374,chr1_132612805,EFBC,44,47
375,chr1_132612805,BCD,46,48
376,chr1_132612805,CDB,47,49
377,chr1_132612805,DBC,48,50
378,chr1_132612805,BCD,49,51
379,chr1_132612805,CDB,50,52
380,chr1_132612805,DBC,51,53
381,chr1_132612805,BCD,52,54
382,chr1_132612805,CDDGDE,53,58
383,chr1_132622805,EDC,1,3
384,chr1_132622805,DCFG,2,5
385,chr1_132622805,FGA,4,6
386,chr1_132622805,ACBCE,6,10
387,chr1_132622805,CED,9,11
388,chr1_132622805,EDC,10,12
389,chr1_132622805,CED,12,14
390,chr1_132622805,EDC,13,15
391,chr1_132622805,DCFG,14,17
392,chr1_132622805,FGA,16,18
393,chr1_132622805,ACBCE,18,22
394,chr1_132622805,CED,21,23
395,chr1_132622805,EDC,22,24
396,chr1_132622805,CED,24,26
397,chr1_132622805,EDHD,25,28
398,chr1_132622805,FGA,29,31
399,chr1_132622805,ACE,31,33
400,chr1_132622805,CED,32,34
401,chr1_132622805,DIF,34,36
402,chr1_132622805,IFJ,35,37
403,chr1_132622805,FJKG,36,39
404,chr1_132622805,DIF,43,45
405,chr1_132622805,IFJ,44,46
406,chr1_132622805,FJKG,45,48
407,chr1_132622805,ACLD,49,52
408,chr1_132622805,LDFJ,51,54
409,chr1_132622805,FJKG,53,56
410,chr1_132622805,ACLD,57,60
411,chr1_132622805,DIF,60,62
412,chr1_132622805,IFJ,61,63
413,chr1_132622805,FJKG,62,65
414,chr1_132622805,ACLD,66,69
415,chr1_132622805,LDFJ,68,71
416,chr1_132622805,FJKG,70,73
417,chr1_132622805,ACLD,74,77
418,chr1_132622805,LDFJ,76,79
419,chr1_132622805,FJKG,78,81
420,chr1_132622805,LDFJ,82,85
421,chr1_132622805,FJKG,84,87
422,chr1_132622805,ACLD,88,91
423,chr1_132622805,LDFJ,90,93
424,chr1_132622805,FJKG,92,95
425,chr1_132622805,ACLD,96,99
426,chr1_132622805,IFJ,101,103
427,chr1_132622805,FJKG,102,105
428,chr1_132622805,ACLD,106,109
429,chr1_132622805,DIF,109,111
430,chr1_132622805,IFJ,110,112
431,chr1_132622805,FJKG,111,114
432,chr1_132622805,CED,116,118
433,chr1_132622805,EDC,117,119
434,chr1_132622805,CED,119,121
435,chr1_132622805,EDC,120,122
436,chr1_132622805,CED,122,124
437,chr1_132622805,EDHD,123,126
438,chr1_132622805,CED,128,130
439,chr1_132622805,EDC,129,131
440,chr1_132622805,CED,131,133
441,chr1_132622805,EDHD,132,135
442,chr1_132622805,ACE,138,140
443,chr1_132622805,CED,139,141
444,chr1_132622805,DIF,141,143
445,chr1_132652805,GAHBC,9,13
446,chr1_132652805,DEIAFA,15,20
447,chr1_132652805,GAHBC,22,26
448,chr1_132652805,DEIAFA,28,33
449,chr1_132652805,AJAJGK,41,46
450,chr1_132652805,GKLAJA,45,50
451,chr1_132652805,AJAJGK,48,53
452,chr1_132652805,GKADJG,52,57
453,chr1_132652805,JGMANOP,56,62
454,chr1_132652805,OPASA,61,65
455,chr1_132652805,ASAQ,63,66
456,chr1_132652805,ROP,70,72
457,chr1_132652805,OPASA,71,75
458,chr1_132652805,ASATRO,73,78
459,chr1_132652805,ROP,77,79
460,chr1_132652805,OPASA,78,82
461,chr1_132652805,GKLAJA,83,88
462,chr1_132652805,AJAJGK,86,91
463,chr1_132652805,GKADJG,90,95
464,chr1_132652805,ASATRO,96,101
465,chr1_132652805,ROP,100,102
466,chr1_132652805,OPASA,101,105
467,chr1_132652805,GKLAJA,106,111
468,chr1_132652805,AJAJGK,109,114
469,chr1_132652805,GKADJG,113,118
470,chr1_132652805,JGMANOP,117,123
471,chr1_132652805,OPASA,122,126
472,chr1_132652805,ASAQ,124,127
473,chr1_132672805,ABCCDIJEFKILLNMLN,1,17
474,chr1_132672805,LNGT,16,19
475,chr1_132672805,GTHDI,18,22
476,chr1_132672805,ABCCDIJEFKILLNMLN,24,40
477,chr1_132672805,LNGT,39,42
478,chr1_132672805,GTHDI,41,45
479,chr1_132672805,OLN,46,48
480,chr1_132672805,NPSQ,48,51
481,chr1_132672805,NPSQ,53,56
482,chr1_132672805,LNGT,57,60
483,chr1_132672805,OLN,61,63
484,chr1_132682805,EABC,4,7
485,chr1_132682805,BCFD,6,9
486,chr1_132682805,FDA,8,10
487,chr1_132682805,DAAE,9,12
488,chr1_132682805,EABC,12,15
489,chr1_132682805,BCFD,14,17
490,chr1_132682805,FDA,16,18
491,chr1_132682805,DAAE,17,20
492,chr1_132682805,EABC,20,23
493,chr1_132682805,BCFD,22,25
494,chr1_132682805,FDA,24,26
495,chr1_132682805,DAAE,25,28
496,chr1_132682805,EABC,28,31
497,chr1_132682805,BCFD,30,33
498,chr1_132682805,FDA,32,34
499,chr1_132682805,FDA,39,41
500,chr1_132682805,EABC,42,45
501,chr1_132757385,AABC,13,16
502,chr1_132757385,AABC,26,29
503,chr1_132757385,AADE,40,43
504,chr1_132757385,DEAA,42,45
505,chr1_132757385,AADE,50,53
506,chr1_132757385,DEAA,52,55
507,chr1_132767385,AMB,1,3
508,chr1_132767385,MBCD,2,5
509,chr1_132767385,CDEF,4,7
510,chr1_132767385,EFGHIJ,6,11
511,chr1_132767385,KAM,12,14
512,chr1_132767385,AMB,13,15
513,chr1_132767385,MBCD,14,17
514,chr1_132767385,CDEF,16,19
515,chr1_132767385,EFGHIJ,18,23
516,chr1_132767385,IJLAM,22,26
517,chr1_132767385,AMB,25,27
518,chr1_132767385,MBCD,26,29
519,chr1_132767385,KAM,30,32
520,chr1_132767385,AMB,31,33
521,chr1_132767385,AMB,39,41
522,chr1_132767385,MBCD,40,43
523,chr1_132767385,CDEF,42,45
524,chr1_132767385,IJLAM,46,50
525,chr1_132767385,AMB,49,51
526,chr1_132767385,MBCD,50,53
527,chr1_132820343,CBA,1,3
528,chr1_132820343,CBA,9,11
529,chr1_132820343,JEC,14,16
530,chr1_132820343,CBDAE,16,20
531,chr1_132820343,AEC,19,21
532,chr1_132820343,CBA,21,23
533,chr1_132820343,BAAF,22,25
534,chr1_132820343,JEC,28,30
535,chr1_132820343,CBDAE,30,34
536,chr1_132820343,AEC,33,35
537,chr1_132820343,CBA,35,37
538,chr1_132820343,BAAF,36,39
539,chr1_132820343,AEC,44,46
540,chr1_132820343,AEC,49,51
541,chr1_132820343,CBA,51,53
542,chr1_132820343,BAIH,52,55
543,chr1_132820343,AEC,56,58
544,chr1_132820343,CBA,58,60
545,chr1_132820343,BAIH,59,62
546,chr1_132820343,AKG,68,70
547,chr1_132820343,AKG,76,78
548,chr1_132820343,JMN,84,86
549,chr1_132820343,MNO,85,87
550,chr1_132820343,ATK,90,92
551,chr1_132820343,TKRJM,91,95
552,chr1_132820343,JMN,94,96
553,chr1_132820343,MNO,102,104
554,chr1_132820343,USQ,106,108
555,chr1_132820343,SQAT,107,110
556,chr1_132820343,ATK,109,111
557,chr1_132820343,TKRJM,110,114
558,chr1_132820343,JMN,113,115
559,chr1_132820343,MNO,114,116
560,chr1_132820343,SQAT,119,122
561,chr1_132820343,ATK,121,123
562,chr1_132820343,JMN,125,127
563,chr1_132820343,MNO,126,128
564,chr1_132820343,USQ,130,132
565,chr1_132820343,SQAT,131,134
566,chr1_132820343,ATK,133,135
567,chr1_132820343,KGVAAJ,135,140
568,chr1_132820343,USQ,141,143
569,chr1_132820343,SQAT,142,145
570,chr1_132820343,ATK,144,146
571,chr1_132820343,KGVAAJ,146,151
572,chr1_132820343,SQAT,157,160
573,chr1_132820343,ATK,159,161
574,chr1_132820343,AXAU,167,170
575,chr1_132820343,UY1AU,170,174
576,chr1_132820343,UYQ2OAA,174,180
577,chr1_132820343,AXAU,180,183
578,chr1_132820343,UY1AU,183,187
579,chr1_132820343,UYQ2OAA,187,193
580,chr1_132850343,CDHL,2,5
581,chr1_132850343,HLCE,4,7
582,chr1_132850343,CEH,6,8
583,chr1_132850343,EHMFAC,7,12
584,chr1_132850343,CDHL,15,18
585,chr1_132850343,HLCE,17,20
586,chr1_132850343,CEH,19,21
587,chr1_132850343,EHMFAC,20,25
588,chr1_132850343,CBKGHLIJHMCKN,25,37
589,chr1_132850343,CBKGHLIJHMCKN,38,50
590,chr1_132850343,CEH,53,55
591,chr1_132850343,HLCE,55,58
592,chr1_132850343,CEH,57,59
593,chr1_132850343,EHMFAC,58,63
594,chr1_132850343,GHQRP,75,79
595,chr1_132850343,RPC,78,80
596,chr1_132850343,PCVYS12TRPUV3W4X,79,94
597,chr1_132850343,GHQRP,95,99
598,chr1_132850343,RPC,98,100
599,chr1_132850343,PCVYS12TRPUV3W4X,99,114
600,chr1_132850343,RPC,119,121
601,chr1_132870343,ABCAAD,1,6
602,chr1_132870343,ABCAAD,7,12
603,chr1_132870343,DAAGAE,12,17
604,chr1_132870343,AEC,16,18
605,chr1_132870343,ECFAAA,17,22
606,chr1_132870343,DAAGAE,23,28
607,chr1_132870343,AEC,27,29
608,chr1_132870343,ECFAAA,28,33
609,chr1_132870343,AEC,48,50
610,chr1_132870343,ECHAAD,49,54
611,chr1_132870343,AEC,58,60
612,chr1_132870343,ECHAAD,59,64
613,chr1_132890343,ABCBDB,2,7
614,chr1_132890343,ABCBDB,11,16
615,chr1_132890343,ABCBDB,17,22
616,chr1_132900343,BDC,2,4
617,chr1_132900343,DCE,3,5
618,chr1_132900343,EDBD,5,8
619,chr1_132900343,BDC,7,9
620,chr1_132900343,DCE,8,10
621,chr1_132900343,DCE,11,13
622,chr1_132900343,DCE,14,16
623,chr1_132900343,EDBD,16,19
624,chr1_132900343,BDC,18,20
625,chr1_132900343,DCE,19,21
626,chr1_132900343,DCE,28,30
627,chr1_132959327,ABC,6,8
628,chr1_132959327,ABC,11,13
629,chr1_133032774,ABCD,1,4
630,chr1_133032774,EBGE,5,8
631,chr1_133032774,EBA,9,11
632,chr1_133032774,FEEB,12,15
633,chr1_133032774,EBEB,14,17
634,chr1_133032774,EBA,16,18
635,chr1_133032774,EBGE,20,23
636,chr1_133032774,GEEEAF,22,27
637,chr1_133032774,FEEB,27,30
638,chr1_133032774,EBEB,29,32
639,chr1_133032774,EBA,31,33
640,chr1_133032774,EBGE,35,38
641,chr1_133032774,GEEEAF,37,42
642,chr1_133032774,FEEB,42,45
643,chr1_133032774,EBA,44,46
644,chr1_133032774,EBA,48,50
645,chr1_133032774,ABCD,50,53
646,chr1_133032774,ABCD,60,63
647,chr1_133042774,KABCDEGB,1,8
648,chr1_133042774,GBCACA,7,12
649,chr1_133042774,ACAF,10,13
650,chr1_133042774,AFGB,12,15
651,chr1_133042774,BACA,15,18
652,chr1_133042774,ACAF,16,19
653,chr1_133042774,AFGB,18,21
654,chr1_133042774,GBCACA,20,25
655,chr1_133042774,ACAF,23,26
656,chr1_133042774,AFGB,25,28
657,chr1_133042774,AFAHI,29,33
658,chr1_133042774,AFAHI,39,43
659,chr1_133042774,KABCDEGB,45,52
660,chr1_133042774,GBCACA,51,56
661,chr1_133042774,ACAF,54,57
662,chr1_133042774,AFGB,56,59
663,chr1_133042774,BACA,59,62
664,chr1_133042774,ACAF,60,63
665,chr1_133088933,ADBB,1,4
666,chr1_133088933,DBBC,2,5
667,chr1_133088933,BBCAA,3,7
668,chr1_133088933,DBBC,14,17
669,chr1_133088933,BBCAA,15,19
670,chr1_133088933,ADBB,19,22
671,chr1_133088933,DBBC,20,23
672,chr1_133088933,ADBB,28,31
673,chr1_133088933,DBBC,29,32
674,chr1_133088933,ADBB,37,40
675,chr1_133088933,DBBC,38,41
676,chr1_133088933,BBCAA,39,43
677,chr1_133148463,AHAABAFCIDJGEKA,1,15
678,chr1_133148463,KAAH,14,17
679,chr1_133148463,AHAABAFCIDJGEKA,16,30
680,chr1_133148463,KAAH,29,32
681,chr1_133148463,AHAABAFCIDJGEKA,31,45
682,chr1_133158463,DAE,2,4
683,chr1_133158463,DAE,12,14
684,chr1_133158463,BDGH,25,28
685,chr1_133158463,BDGH,37,40
686,chr1_133158463,NIBLJ,51,55
687,chr1_133158463,LJKBBB,54,59
688,chr1_133158463,BBMN,65,68
689,chr1_133158463,NIBLJ,68,72
690,chr1_133158463,LJKBBB,71,76
691,chr1_133158463,BBMN,82,85
692,chr1_133158463,LJKBBB,88,93
693,chr1_133213921,ABC,3,5
694,chr1_133213921,BCA,4,6
695,chr1_133213921,ADEF,6,9
696,chr1_133213921,ADEF,14,17
697,chr1_133213921,BEF,22,24
698,chr1_133213921,ABC,26,28
699,chr1_133213921,BCA,27,29
700,chr1_133213921,BCA,32,34
701,chr1_133213921,ADEF,34,37
702,chr1_133213921,ADB,40,42
703,chr1_133213921,BEF,43,45
704,chr1_133213921,BCA,46,48
705,chr1_133213921,GBCHAD,52,57
706,chr1_133213921,ADB,56,58
707,chr1_133213921,DBCB,57,60
708,chr1_133213921,BEF,60,62
709,chr1_133213921,GBCHAD,63,68
710,chr1_133213921,ADB,67,69
711,chr1_133213921,DBCB,68,71
712,chr1_133273890,DBCJHDDE,2,9
713,chr1_133273890,DEKFH,8,12
714,chr1_133273890,FHGEDE,11,16
715,chr1_133273890,DEKFH,15,19
716,chr1_133273890,FHILDM,18,23
717,chr1_133273890,DBCJHDDE,24,31
718,chr1_133273890,DEKFH,30,34
719,chr1_133273890,FHGEDE,33,38
720,chr1_133273890,DEKFH,37,41
721,chr1_133273890,FHILDM,40,45
722,chr1_133283890,BEFCDGHF,5,12
723,chr1_133283890,BEFCDGHF,16,23
